user_id,timestamp,channel,funnel_stage
USER_1342,2026-01-01 00:35:00,Meta Ads,visit
USER_2711,2026-01-01 00:37:00,Google Ads,visit
USER_2281,2026-01-01 00:50:00,Google Ads,signup
USER_2257,2026-01-01 01:19:00,Google Ads,click
USER_3086,2026-01-01 01:34:00,Google Ads,click
USER_1601,2026-01-01 01:50:00,Google Ads,booking
USER_1576,2026-01-01 02:13:00,Meta Ads,click
USER_1913,2026-01-01 02:33:00,Meta Ads,click
USER_1401,2026-01-01 02:39:00,Google Ads,click
USER_3087,2026-01-01 02:44:00,Meta Ads,visit
USER_3476,2026-01-01 02:51:00,Meta Ads,visit
USER_2320,2026-01-01 03:02:00,Google Ads,visit
USER_1862,2026-01-01 03:39:00,Meta Ads,click
USER_1902,2026-01-01 03:47:00,Meta Ads,visit
USER_3237,2026-01-01 03:56:00,Organic Search,click
USER_3316,2026-01-01 04:31:00,Email Referral,booking
USER_1007,2026-01-01 04:33:00,Meta Ads,visit
USER_2487,2026-01-01 04:36:00,Organic Search,click
USER_1596,2026-01-01 04:46:00,Google Ads,click
USER_1025,2026-01-01 04:51:00,Organic Search,click
USER_2556,2026-01-01 05:50:00,Google Ads,visit
USER_1065,2026-01-01 05:54:00,Email Referral,click
USER_2830,2026-01-01 05:54:00,Google Ads,signup
USER_2825,2026-01-01 05:59:00,Google Ads,click
USER_1203,2026-01-01 06:04:00,Google Ads,click
USER_3277,2026-01-01 06:08:00,Meta Ads,click
USER_3401,2026-01-01 06:27:00,Google Ads,click
USER_2695,2026-01-01 06:36:00,Google Ads,click
USER_1720,2026-01-01 06:46:00,Google Ads,click
USER_2655,2026-01-01 06:57:00,Google Ads,click
USER_3000,2026-01-01 07:15:00,Meta Ads,visit
USER_3273,2026-01-01 07:33:00,Google Ads,click
USER_1982,2026-01-01 07:43:00,Google Ads,click
USER_1592,2026-01-01 07:46:00,Google Ads,click
USER_1926,2026-01-01 08:02:00,Google Ads,signup
USER_3446,2026-01-01 08:10:00,Email Referral,visit
USER_2399,2026-01-01 08:10:00,Meta Ads,click
USER_1662,2026-01-01 08:13:00,Google Ads,visit
USER_1333,2026-01-01 08:13:00,Meta Ads,click
USER_1561,2026-01-01 08:23:00,Google Ads,visit
USER_1820,2026-01-01 08:26:00,Meta Ads,visit
USER_3371,2026-01-01 08:47:00,Meta Ads,signup
USER_2051,2026-01-01 09:12:00,Google Ads,click
USER_3265,2026-01-01 09:49:00,Organic Search,click
USER_3285,2026-01-01 09:58:00,Google Ads,click
USER_1373,2026-01-01 10:27:00,Meta Ads,click
USER_3476,2026-01-01 10:29:00,Meta Ads,click
USER_1365,2026-01-01 10:40:00,Meta Ads,visit
USER_2072,2026-01-01 10:41:00,Meta Ads,click
USER_2252,2026-01-01 11:02:00,Meta Ads,click
USER_2378,2026-01-01 11:04:00,Meta Ads,signup
USER_2970,2026-01-01 11:26:00,Organic Search,click
USER_1995,2026-01-01 11:28:00,Google Ads,visit
USER_2191,2026-01-01 11:38:00,Meta Ads,visit
USER_2192,2026-01-01 11:41:00,Organic Search,booking
USER_2641,2026-01-01 11:45:00,Meta Ads,visit
USER_3375,2026-01-01 12:00:00,Organic Search,signup
USER_2544,2026-01-01 12:17:00,Meta Ads,click
USER_1333,2026-01-01 12:29:00,Meta Ads,signup
USER_3478,2026-01-01 12:47:00,Email Referral,visit
USER_2326,2026-01-01 13:12:00,Meta Ads,booking
USER_3475,2026-01-01 13:59:00,Meta Ads,click
USER_3050,2026-01-01 14:11:00,Organic Search,click
USER_1685,2026-01-01 14:24:00,Organic Search,click
USER_2288,2026-01-01 14:25:00,Google Ads,click
USER_1643,2026-01-01 14:33:00,Google Ads,visit
USER_1751,2026-01-01 14:35:00,Organic Search,click
USER_1527,2026-01-01 15:15:00,Organic Search,signup
USER_3179,2026-01-01 15:21:00,Meta Ads,click
USER_2734,2026-01-01 15:22:00,Meta Ads,click
USER_1080,2026-01-01 15:26:00,Meta Ads,click
USER_2774,2026-01-01 15:26:00,Google Ads,click
USER_1049,2026-01-01 15:32:00,Google Ads,click
USER_2553,2026-01-01 15:36:00,Meta Ads,click
USER_1237,2026-01-01 15:49:00,Email Referral,click
USER_2305,2026-01-01 16:24:00,Email Referral,click
USER_3205,2026-01-01 16:26:00,Google Ads,click
